date,open,high,low,close,volume
2025-11-11 09:15:00+05:30,3484.5,3498.2,3470.5,3495.0,2306
2025-11-11 09:16:00+05:30,3494.5,3520.0,3494.5,3497.3,5496
2025-11-11 09:17:00+05:30,3506.8,3523.0,3501.8,3513.2,3857
2025-11-11 09:18:00+05:30,3506.9,3517.4,3506.9,3515.5,1853
2025-11-11 09:19:00+05:30,3511.7,3522.0,3505.0,3520.0,2104
2025-11-11 09:20:00+05:30,3519.0,3525.5,3511.7,3511.7,2369
2025-11-11 09:21:00+05:30,3519.1,3522.4,3513.0,3522.4,2316
2025-11-11 09:22:00+05:30,3520.1,3529.0,3519.8,3523.7,2852
2025-11-11 09:23:00+05:30,3525.0,3550.0,3525.0,3550.0,12694
2025-11-11 09:24:00+05:30,3539.1,3539.3,3527.7,3534.4,2075
2025-11-11 09:25:00+05:30,3534.8,3544.8,3534.8,3544.8,1165
2025-11-11 09:26:00+05:30,3537.1,3544.8,3537.1,3541.0,2634
2025-11-11 09:27:00+05:30,3540.5,3542.7,3536.4,3537.4,1675
2025-11-11 09:28:00+05:30,3538.3,3549.9,3536.4,3549.0,2647
2025-11-11 09:29:00+05:30,3549.0,3557.8,3544.4,3557.8,4274
2025-11-11 09:30:00+05:30,3550.2,3555.3,3539.9,3541.5,2928
2025-11-11 09:31:00+05:30,3541.8,3553.0,3541.8,3551.5,2752
2025-11-11 09:32:00+05:30,3551.5,3551.5,3545.9,3550.0,809
2025-11-11 09:33:00+05:30,3551.9,3567.8,3551.1,3567.8,4731
2025-11-11 09:34:00+05:30,3565.3,3566.0,3558.4,3561.0,1928
2025-11-11 09:35:00+05:30,3558.3,3562.9,3558.1,3559.9,845
2025-11-11 09:36:00+05:30,3558.0,3560.0,3553.6,3555.0,1767
2025-11-11 09:37:00+05:30,3554.3,3563.9,3553.1,3560.0,840
2025-11-11 09:38:00+05:30,3558.8,3568.5,3557.1,3568.5,1369
2025-11-11 09:39:00+05:30,3566.8,3567.8,3566.0,3566.0,624
2025-11-11 09:40:00+05:30,3566.0,3568.7,3555.0,3556.5,1105
2025-11-11 09:41:00+05:30,3556.5,3557.6,3553.0,3555.8,1118
2025-11-11 09:42:00+05:30,3555.0,3560.0,3555.0,3559.7,457
2025-11-11 09:43:00+05:30,3559.5,3563.0,3559.5,3562.0,638
2025-11-11 09:44:00+05:30,3562.9,3565.0,3560.0,3563.8,303
2025-11-11 09:45:00+05:30,3563.7,3573.3,3560.3,3573.3,3257
2025-11-11 09:46:00+05:30,3573.3,3578.0,3570.4,3577.4,1478
2025-11-11 09:47:00+05:30,3576.1,3577.4,3572.5,3574.2,1218
2025-11-11 09:48:00+05:30,3574.2,3579.0,3572.5,3573.0,1042
2025-11-11 09:49:00+05:30,3573.0,3575.6,3573.0,3573.6,266
2025-11-11 09:50:00+05:30,3573.1,3575.0,3573.1,3574.5,343
2025-11-11 09:51:00+05:30,3574.5,3580.0,3571.6,3571.6,2599
2025-11-11 09:52:00+05:30,3571.6,3572.5,3566.8,3567.4,1752
2025-11-11 09:53:00+05:30,3571.0,3573.6,3567.0,3571.9,951
2025-11-11 09:54:00+05:30,3571.9,3573.5,3568.8,3569.2,656
2025-11-11 09:55:00+05:30,3571.6,3571.6,3553.0,3554.8,1801
2025-11-11 09:56:00+05:30,3555.6,3559.6,3544.1,3546.2,1986
2025-11-11 09:57:00+05:30,3546.2,3546.2,3537.3,3544.6,2096
2025-11-11 09:58:00+05:30,3544.6,3544.6,3538.0,3543.5,766
2025-11-11 09:59:00+05:30,3543.5,3549.8,3540.6,3549.0,527
2025-11-11 10:00:00+05:30,3549.0,3549.7,3546.3,3549.7,523
2025-11-11 10:01:00+05:30,3549.7,3550.0,3546.7,3549.7,292
2025-11-11 10:02:00+05:30,3546.7,3550.0,3545.7,3550.0,591
2025-11-11 10:03:00+05:30,3550.0,3550.0,3545.5,3547.0,225
2025-11-11 10:04:00+05:30,3547.0,3547.0,3540.5,3540.5,328
2025-11-11 10:05:00+05:30,3543.1,3544.5,3540.8,3542.6,646
2025-11-11 10:06:00+05:30,3542.5,3546.3,3542.5,3545.3,309
2025-11-11 10:07:00+05:30,3545.3,3546.2,3543.0,3544.5,214
2025-11-11 10:08:00+05:30,3546.2,3546.2,3539.9,3543.1,1198
2025-11-11 10:09:00+05:30,3538.0,3546.2,3538.0,3546.2,314
2025-11-11 10:10:00+05:30,3546.2,3546.2,3542.7,3542.7,250
2025-11-11 10:11:00+05:30,3537.2,3543.5,3537.2,3539.9,938
2025-11-11 10:12:00+05:30,3541.6,3542.7,3540.0,3540.0,214
2025-11-11 10:13:00+05:30,3540.0,3540.0,3520.6,3520.6,1400
2025-11-11 10:14:00+05:30,3520.2,3520.2,3513.5,3515.8,1310
2025-11-11 10:15:00+05:30,3515.8,3519.3,3505.1,3515.5,2781
2025-11-11 10:16:00+05:30,3515.5,3519.1,3502.5,3503.9,1363
2025-11-11 10:17:00+05:30,3503.9,3508.4,3502.1,3505.9,901
2025-11-11 10:18:00+05:30,3505.9,3505.9,3500.0,3504.3,702
2025-11-11 10:19:00+05:30,3504.3,3509.2,3500.3,3502.7,1248
2025-11-11 10:20:00+05:30,3502.7,3507.1,3502.7,3504.5,252
2025-11-11 10:21:00+05:30,3504.5,3508.4,3502.8,3507.3,449
2025-11-11 10:22:00+05:30,3510.4,3510.4,3504.0,3504.0,441
2025-11-11 10:23:00+05:30,3504.0,3506.3,3503.4,3503.4,214
2025-11-11 10:24:00+05:30,3502.0,3502.0,3500.0,3502.0,150
