date,open,high,low,close,volume
2025-11-11 09:15:00+05:30,915.0,916.9,912.3,914.85,16503
2025-11-11 09:16:00+05:30,914.3,914.6,909.55,910.55,8795
2025-11-11 09:17:00+05:30,910.55,911.0,909.45,910.15,5749
2025-11-11 09:18:00+05:30,909.4,910.0,909.0,909.2,4800
2025-11-11 09:19:00+05:30,909.2,909.2,907.6,908.3,6881
2025-11-11 09:20:00+05:30,908.5,909.95,908.3,909.95,3167
2025-11-11 09:21:00+05:30,910.45,910.8,909.9,910.1,3062
2025-11-11 09:22:00+05:30,910.1,910.7,910.1,910.65,892
2025-11-11 09:23:00+05:30,910.45,911.4,910.45,910.95,4766
2025-11-11 09:24:00+05:30,911.2,912.95,910.2,911.95,16312
2025-11-11 09:25:00+05:30,911.95,911.95,910.65,911.6,1679
2025-11-11 09:26:00+05:30,911.35,911.8,910.55,910.6,1605
2025-11-11 09:27:00+05:30,910.6,910.6,909.95,910.15,2035
2025-11-11 09:28:00+05:30,910.15,910.75,909.6,909.6,2039
2025-11-11 09:29:00+05:30,909.6,910.25,909.5,910.0,1922
2025-11-11 09:30:00+05:30,910.0,910.0,909.0,909.1,2207
2025-11-11 09:31:00+05:30,909.1,909.1,907.7,907.7,1252
2025-11-11 09:32:00+05:30,907.15,908.15,907.15,908.0,2655
2025-11-11 09:33:00+05:30,907.25,907.7,906.5,906.5,2758
2025-11-11 09:34:00+05:30,906.5,906.6,906.0,906.25,1851
2025-11-11 09:35:00+05:30,906.0,906.9,905.95,906.4,3061
2025-11-11 09:36:00+05:30,906.4,906.6,905.3,906.0,3836
2025-11-11 09:37:00+05:30,906.0,906.85,905.8,906.8,864
2025-11-11 09:38:00+05:30,906.55,907.35,906.55,907.05,2786
2025-11-11 09:39:00+05:30,907.4,908.0,907.15,908.0,5591
2025-11-11 09:40:00+05:30,907.8,907.85,907.2,907.25,4473
2025-11-11 09:41:00+05:30,907.2,907.65,907.2,907.65,2198
2025-11-11 09:42:00+05:30,907.65,907.8,907.15,907.3,4464
2025-11-11 09:43:00+05:30,907.4,907.4,906.25,906.8,903
