Symbol,Industry,ISIN Code,Indices
BSE,Financial Services,INE118H01025,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150"
BAJAJ-AUTO,Automobile and Auto Components,INE917I01010,"NIFTY 50, NIFTY 100, NIFTY 200, NIFTY 500, NIFTY AUTO"
BAJFINANCE,Financial Services,INE296A01032,"NIFTY 50, NIFTY 100, NIFTY 200, NIFTY 500"
BAJAJFINSV,Financial Services,INE918I01026,"NIFTY 50, NIFTY 100, NIFTY 200, NIFTY 500"
BAJAJHLDNG,Financial Services,INE118A01012,"NIFTY NEXT 50, NIFTY 100, NIFTY 200, NIFTY 500"
BAJAJHFL,Financial Services,INE377Y01014,"NIFTY NEXT 50, NIFTY 100, NIFTY 200, NIFTY 500"
BALKRISIND,Automobile and Auto Components,INE787D01026,"NIFTY 500, NIFTY MIDCAP 150"
BALRAMCHIN,Fast Moving Consumer Goods,INE119A01028,"NIFTY 500, NIFTY SMALLCAP 250"
BANDHANBNK,Financial Services,INE545U01014,"NIFTY 500, NIFTY SMALLCAP 250"
BANKBARODA,Financial Services,INE028A01039,"NIFTY NEXT 50, NIFTY 100, NIFTY 200, NIFTY 500, NIFTY BANK, NIFTY PSU BANK"
BANKINDIA,Financial Services,INE084A01016,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150, NIFTY PSU BANK"
MAHABANK,Financial Services,INE457A01014,"NIFTY 500, NIFTY MIDCAP 150, NIFTY PSU BANK"
BATAINDIA,Consumer Durables,INE176A01028,"NIFTY 500, NIFTY SMALLCAP 250"
BAYERCROP,Chemicals,INE462A01022,"NIFTY 500, NIFTY SMALLCAP 250"
BERGEPAINT,Consumer Durables,INE463A01038,"NIFTY 500, NIFTY MIDCAP 150"
BDL,Capital Goods,INE171Z01026,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150"
BEL,Capital Goods,INE263A01024,"NIFTY 50, NIFTY 100, NIFTY 200, NIFTY 500"
BHARATFORG,Automobile and Auto Components,INE465A01025,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150, NIFTY AUTO"
BHEL,Capital Goods,INE257A01026,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150, NIFTY ENERGY"
BPCL,Oil Gas & Consumable Fuels,INE029A01011,"NIFTY NEXT 50, NIFTY 100, NIFTY 200, NIFTY 500, NIFTY ENERGY"
BHARTIARTL,Telecommunication,INE397D01024,"NIFTY 50, NIFTY 100, NIFTY 200, NIFTY 500"
BHARTIHEXA,Telecommunication,INE343G01021,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150"
BIKAJI,Fast Moving Consumer Goods,INE00E101023,"NIFTY 500, NIFTY SMALLCAP 250"
BIOCON,Healthcare,INE376G01013,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150, NIFTY PHARMA"
BSOFT,Information Technology,INE836A01035,"NIFTY 500, NIFTY SMALLCAP 250"
BLUEDART,Services,INE233B01017,"NIFTY 500, NIFTY SMALLCAP 250"
BLUEJET,Healthcare,INE0KBH01020,"NIFTY 500, NIFTY SMALLCAP 250"
BLUESTARCO,Consumer Durables,INE472A01039,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150"
BBTC,Fast Moving Consumer Goods,INE050A01025,"NIFTY 500, NIFTY SMALLCAP 250"
BOSCHLTD,Automobile and Auto Components,INE323A01026,"NIFTY NEXT 50, NIFTY 100, NIFTY 200, NIFTY 500, NIFTY AUTO"
FIRSTCRY,Consumer Services,INE02RE01045,"NIFTY 500, NIFTY SMALLCAP 250"
BRIGADE,Realty,INE791I01019,"NIFTY 500, NIFTY SMALLCAP 250, NIFTY REALTY"
BRITANNIA,Fast Moving Consumer Goods,INE216A01030,"NIFTY NEXT 50, NIFTY 100, NIFTY 200, NIFTY 500, NIFTY FMCG"
MAPMYINDIA,Information Technology,INE0BV301023,"NIFTY 500, NIFTY SMALLCAP 250"
CCL,Fast Moving Consumer Goods,INE421D01022,"NIFTY 500, NIFTY SMALLCAP 250"
CESC,Power,INE486A01021,"NIFTY 500, NIFTY SMALLCAP 250, NIFTY ENERGY"
CGPOWER,Capital Goods,INE067A01029,"NIFTY NEXT 50, NIFTY 100, NIFTY 200, NIFTY 500, NIFTY ENERGY"
