date,open,high,low,close,volume
2025-11-20 09:15:00+05:30,1128.9,1129.3,1124.7,1127.7,27449
2025-11-20 09:16:00+05:30,1125.4,1127.3,1121.0,1121.3,18152
2025-11-20 09:17:00+05:30,1121.8,1124.3,1120.9,1123.7,10961
2025-11-20 09:18:00+05:30,1123.7,1124.4,1123.1,1123.8,4506
2025-11-20 09:19:00+05:30,1123.8,1128.1,1123.3,1127.9,6328
2025-11-20 09:20:00+05:30,1127.9,1128.2,1126.8,1127.9,6631
2025-11-20 09:21:00+05:30,1127.9,1127.9,1122.3,1122.7,13703
2025-11-20 09:22:00+05:30,1122.7,1124.9,1122.3,1124.9,6888
2025-11-20 09:23:00+05:30,1124.9,1124.9,1122.9,1122.9,3620
2025-11-20 09:24:00+05:30,1122.8,1124.8,1122.6,1123.5,2427
2025-11-20 09:25:00+05:30,1123.5,1124.6,1123.3,1124.3,912
2025-11-20 09:26:00+05:30,1123.3,1124.3,1122.3,1122.5,4042
2025-11-20 09:27:00+05:30,1122.5,1122.5,1121.4,1121.5,2409
2025-11-20 09:28:00+05:30,1123.0,1124.5,1122.5,1124.0,2833
2025-11-20 09:29:00+05:30,1124.0,1124.3,1123.8,1124.1,1018
2025-11-20 09:30:00+05:30,1124.3,1125.8,1124.0,1125.7,5037
2025-11-20 09:31:00+05:30,1125.7,1125.7,1125.3,1125.4,1535
2025-11-20 09:32:00+05:30,1125.5,1129.5,1125.5,1129.5,9956
2025-11-20 09:33:00+05:30,1129.5,1130.4,1129.2,1130.1,5950
2025-11-20 09:34:00+05:30,1130.2,1133.6,1130.2,1131.7,14315
2025-11-20 09:35:00+05:30,1131.7,1133.0,1130.4,1132.0,5071
2025-11-20 09:36:00+05:30,1132.0,1132.2,1130.8,1130.9,7537
2025-11-20 09:37:00+05:30,1131.2,1133.0,1131.2,1132.6,4793
2025-11-20 09:38:00+05:30,1132.6,1132.6,1131.0,1131.7,899
2025-11-20 09:39:00+05:30,1131.8,1132.3,1130.5,1131.4,3310
2025-11-20 09:40:00+05:30,1131.3,1131.6,1130.6,1131.5,3070
2025-11-20 09:41:00+05:30,1131.5,1132.4,1131.3,1131.8,1017
2025-11-20 09:42:00+05:30,1131.8,1132.0,1128.3,1129.5,5198
2025-11-20 09:43:00+05:30,1128.8,1129.0,1126.2,1127.4,5470
2025-11-20 09:44:00+05:30,1127.4,1129.0,1127.4,1129.0,1212
2025-11-20 09:45:00+05:30,1129.0,1129.9,1128.5,1129.5,1269
2025-11-20 09:46:00+05:30,1129.5,1131.4,1129.5,1131.0,639
2025-11-20 09:47:00+05:30,1131.8,1132.6,1131.1,1132.3,1406
2025-11-20 09:48:00+05:30,1132.3,1132.6,1130.0,1132.6,2571
2025-11-20 09:49:00+05:30,1132.9,1132.9,1131.3,1132.0,6609
